FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100101;0000;;18,6752;;
110101;0000;;49,72;;
120101;0000;;38,0529;;
130101;0000;41,4372;;;
140101;0000;30,5463;;;
150101;0000;27,2467;;;
160101;0000;36,492;;;
170101;0000;;;;
