FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;21,4187;;;
180101;0000;21,6705;;;
190101;0000;23,8161;;;
200101;0000;21,8547;;;
210101;0000;19;;;
220101;0000;22,108;;;
230101;0000;20,7676;;;
240101;0000;21,9854;;;
250101;0000;19,9915;;;
260101;0000;9,93636;;;
