FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130101;0000;33,3485;;;
140101;0000;27,3816;;;
150101;0000;25,0541;;;
160101;0000;28,4029;;;
170101;0000;24,7722;;;
180101;0000;23,4202;;;
190101;0000;24,7583;;;
200101;0000;22,5787;;;
210101;0000;26,1727;;;
220101;0000;22,6685;;;
230101;0000;23,0983;;;
240101;0000;22,4875;;;
250101;0000;23,6923;;;
260101;0000;;35,56;;
