FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
210101;0000;;;0;
220101;0000;;;;
230101;0000;;;;
240101;0000;;;;
250101;0000;;;10,5541;
260101;0000;;;14,4132;
