FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;;;14,5993;
180101;0000;;;15,9094;
190101;0000;;;16,2584;
200101;0000;;;16,2472;
210101;0000;;;16,0255;
220101;0000;;;13,3277;
230101;0000;;;12,7514;
240101;0000;;;15,2645;
250101;0000;;;14,2901;
260101;0000;;;13,4767;
