FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;;;17,7918;
170101;0000;;;15,9917;
180101;0000;;;17,6616;
190101;0000;;;;
200101;0000;;;15,7437;
210101;0000;;;14,8244;
220101;0000;;;12,0338;
230101;0000;;;11,2337;
240101;0000;;;11,3798;
250101;0000;;;12,5826;
260101;0000;;;14,2515;
