FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;;;12,6522;
180101;0000;;;14,0635;
190101;0000;;;13,0997;
200101;0000;;;;
210101;0000;;;14,2643;
220101;0000;;;13,7031;
230101;0000;;;11,3707;
240101;0000;;;8,44144;
250101;0000;;;12,2066;
260101;0000;;;14,7529;
