FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
210101;0000;;;28,0638;
220101;0000;;20,6691;;
230101;0000;;22,917;;
240101;0000;;;26,0055;
250101;0000;;;19,6813;
260101;0000;;;18,1322;
