FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;;;32,0918;
170101;0000;;;29,3267;
180101;0000;;;;
190101;0000;;;;
200101;0000;;;;
210101;0000;;;15,1401;
220101;0000;;12,6453;;
230101;0000;;10,8547;;
240101;0000;;;9,21538;
250101;0000;;;5,47922;
260101;0000;;;11,6821;
