FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130101;0000;;;16,387;
140101;0000;;;14,9038;
150101;0000;;;9,79908;
160101;0000;;;12,5576;
170101;0000;;;14,2363;
180101;0000;;;13,2219;
190101;0000;;;12,6584;
200101;0000;;;12,2575;
210101;0000;;;12,3972;
220101;0000;;;12,5937;
230101;0000;;;11,925;
240101;0000;;;12,823;
250101;0000;;;11,478;
260101;0000;;;12,4682;
