FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0000;;;14,117;
190101;0000;;;16,8162;
200101;0000;;;15,9612;
210101;0000;;;15,3361;
220101;0000;;;14,4438;
230101;0000;;;15,2555;
240101;0000;;;15,5369;
250101;0000;;;15,0896;
260101;0000;;;15,9195;
