FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0000;15,1213;;;
150101;0000;13,0958;;;
160101;0000;12,4584;;;
170101;0000;13,9202;;;
180101;0000;13,6371;;;
190101;0000;11,904;;;
200101;0000;10,5682;;;
210101;0000;12,0756;;;
220101;0000;10,5452;;;
230101;0000;12,1158;;;
240101;0000;9,5427;;;
250101;0000;11,0776;;;
260101;0000;8;;;
