FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0000;13,6964;;;
150101;0000;13,7185;;;
160101;0000;16,84;;;
170101;0000;13,1587;;;
180101;0000;15,5421;;;
190101;0000;13,4691;;;
200101;0000;10,3056;;;
210101;0000;11,6306;;;
220101;0000;10,8532;;;
230101;0000;10,3538;;;
240101;0000;9,22928;;;
250101;0000;10,4775;;;
260101;0000;9,20175;;;
