FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090101;0000;28,1547;;;
100101;0000;27,4181;;;
110101;0000;25,6904;;;
120101;0000;24,3623;;;
130101;0000;24,8953;;;
140101;0000;28,8672;;;
150101;0000;30,301;;;
160101;0000;24,6518;;;
