FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190101;0000;;;14,2778;
200101;0000;;;9,35457;
210101;0000;;;7,44011;
220101;0000;;;6,41667;
230101;0000;;;11,1884;
240101;0000;;;7,20822;
250101;0000;;;6,49725;
260101;0000;;;5,55294;
