FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190101;0000;;;9,75;
200101;0000;;;8,86592;
210101;0000;;;6,91111;
220101;0000;;;6,34358;
230101;0000;;;8,05205;
240101;0000;;;7,67213;
250101;0000;;;10,9699;
260101;0000;;;5,68098;
